"View","Feature","Component","Probability"
"covariates","demo_sex_v2","1",0.999999999999923
"covariates","demo_sex_v2","2",0.999999999999923
"covariates","demo_sex_v2","3",0.999999999999923
"covariates","demo_sex_v2","4",0.999999999999923
"covariates","demo_sex_v2","5",0.999999999999923
"covariates","demo_sex_v2","6",0.999999999999923
"covariates","interview_age","1",0.999999999999923
"covariates","interview_age","2",0.999999999999923
"covariates","interview_age","3",0.999999999999923
"covariates","interview_age","4",0.999999999999923
"covariates","interview_age","5",0.999999999999923
"covariates","interview_age","6",0.999999999999923
"covariates","White_race","1",0.999999999999923
"covariates","White_race","2",0.999999999999923
"covariates","White_race","3",0.999999999999923
"covariates","White_race","4",0.999999999999923
"covariates","White_race","5",0.999999999999923
"covariates","White_race","6",0.999999999999923
"covariates","Black_race","1",0.999999999999923
"covariates","Black_race","2",0.999999999999923
"covariates","Black_race","3",0.999999999999923
"covariates","Black_race","4",0.999999999999923
"covariates","Black_race","5",0.999999999999923
"covariates","Black_race","6",0.999999999999923
"covariates","AIAN_race","1",0.999999999999923
"covariates","AIAN_race","2",0.999999999999923
"covariates","AIAN_race","3",0.999999999999923
"covariates","AIAN_race","4",0.999999999999923
"covariates","AIAN_race","5",0.999999999999923
"covariates","AIAN_race","6",0.999999999999923
"covariates","Asian_race","1",0.999999999999923
"covariates","Asian_race","2",0.999999999999923
"covariates","Asian_race","3",0.999999999999923
"covariates","Asian_race","4",0.999999999999923
"covariates","Asian_race","5",0.999999999999923
"covariates","Asian_race","6",0.999999999999923
"covariates","Other_race","1",0.999999999999923
"covariates","Other_race","2",0.999999999999923
"covariates","Other_race","3",0.999999999999923
"covariates","Other_race","4",0.999999999999923
"covariates","Other_race","5",0.999999999999923
"covariates","Other_race","6",0.999999999999923
"covariates","demo_ethn_v2","1",0.999999999999923
"covariates","demo_ethn_v2","2",0.999999999999923
"covariates","demo_ethn_v2","3",0.999999999999923
"covariates","demo_ethn_v2","4",0.999999999999923
"covariates","demo_ethn_v2","5",0.999999999999923
"covariates","demo_ethn_v2","6",0.999999999999923
"covariates","demo_comb_income_v2_bl","1",0.999999999999923
"covariates","demo_comb_income_v2_bl","2",0.999999999999923
"covariates","demo_comb_income_v2_bl","3",0.999999999999923
"covariates","demo_comb_income_v2_bl","4",0.999999999999923
"covariates","demo_comb_income_v2_bl","5",0.999999999999923
"covariates","demo_comb_income_v2_bl","6",0.999999999999923
"covariates","highest_demo_ed_bl","1",0.999999999999923
"covariates","highest_demo_ed_bl","2",0.999999999999923
"covariates","highest_demo_ed_bl","3",0.999999999999923
"covariates","highest_demo_ed_bl","4",0.999999999999923
"covariates","highest_demo_ed_bl","5",0.999999999999923
"covariates","highest_demo_ed_bl","6",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","1",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","2",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","3",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","4",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","5",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","6",0.999999999999923
"sMRI_SA","mrisdp_304","5",0.999999999999923
"sMRI_SA","mrisdp_382","3",0.999999999999923
"sMRI_SA","mrisdp_395","5",0.999999999999923
"sMRI_SA","mrisdp_396","5",0.999999999999923
